No,HID_DIM,ENC_LAYERS/DEC_LAYERS,ENC_HEADS/DEC_HEADS,PF,PF_ACT,ENC_PF_DIM/DEC_PF_DIM,TE_TYPE,ENC_DROPOUT/DEC_DROPOUT,Time,Parameters,val_loss,val_PLL,BLEU
204,512,6,8,FALSE,,1024,1,0.1,18m56s,37652038,6.55,700.61,0
205,256,3,4,FALSE,,1024,1,0.1,5m9s,8586054,2.37,10.75,15.84
206,512,3,4,FALSE,,1024,1,0.1,10m9s,21880390,2.77,16.01,13.33
207,256,6,4,FALSE,,1024,1,0.1,9m11s,14115654,5.96,387.93,0
208,512,6,4,FALSE,,1024,1,0.1,18m37s,37652038,6.26,525.84,0
209,256,3,8,FALSE,,1024,0,0,5m27s,8586054,2.84,17.17,15.5
210,512,3,8,FALSE,,1024,0,0,10m8s,21880390,2.83,16.87,15.28
211,256,6,8,FALSE,,1024,0,0,9m58s,14115654,3.32,27.73,5.69
212,512,6,8,FALSE,,1024,0,0,18m40s,37652038,3.2,24.62,0
213,256,3,4,FALSE,,1024,0,0,5m3s,8586054,3,20.08,16.87
214,512,3,4,FALSE,,1024,0,0,10m0s,21880390,2.85,17.22,15.46
215,256,6,4,FALSE,,1024,0,0,9m9s,14115654,3.08,21.86,5.71
216,512,6,4,FALSE,,1024,0,0,18m18s,37652038,3.44,31.21,0
217,256,3,8,FALSE,,1024,1,0,5m22s,8586054,3.19,24.26,12.9
218,512,3,8,FALSE,,1024,1,0,10m1s,21880390,3.05,21.22,11.96
219,256,6,8,FALSE,,1024,1,0,10m15s,14115654,3.65,38.36,1.57
220,512,6,8,FALSE,,1024,1,0,18m24s,37652038,4.98,145.15,0
221,256,3,4,FALSE,,1024,1,0,4m58s,8586054,3.21,24.69,11.52
222,512,3,4,FALSE,,1024,1,0,10m3s,21880390,3.11,22.52,13.63
223,256,6,4,FALSE,,1024,1,0,9m7s,14115654,4.27,71.2,0
224,512,6,4,FALSE,,1024,1,0,18m21s,37652038,5.17,175.88,0
225,256,3,8,FALSE,,1024,0,0.2,5m34s,8586054,2.32,10.23,17.53
226,512,3,8,FALSE,,1024,0,0.2,10m9s,21880390,2.71,15.05,14.89
227,256,6,8,FALSE,,1024,0,0.2,9m51s,14115654,2.88,17.8,1.76
228,512,6,8,FALSE,,1024,0,0.2,18m39s,37652038,6.42,611.31,0
229,256,3,4,FALSE,,1024,0,0.2,5m4s,8586054,2.3,9.98,17.81
230,512,3,4,FALSE,,1024,0,0.2,10m1s,21880390,2.62,13.71,14.98
231,256,6,4,FALSE,,1024,0,0.2,9m5s,14115654,3.14,23.01,0.35
232,512,6,4,FALSE,,1024,0,0.2,18m25s,37652038,6.17,476.01,0
233,256,3,8,FALSE,,1024,1,0.2,5m30s,8586054,2.25,9.52,17.24
234,512,3,8,FALSE,,1024,1,0.2,10m10s,21880390,2.67,14.4,12.63
235,256,6,8,FALSE,,1024,1,0.2,9m53s,14115654,5.8,329.18,0
236,512,6,8,FALSE,,1024,1,0.2,18m38s,37652038,6.77,867.74,0
237,256,3,4,FALSE,,1024,1,0.2,5m7s,8586054,2.22,9.18,17.43
238,512,3,4,FALSE,,1024,1,0.2,10m1s,21880390,2.68,14.62,11.65
